Codigo;Descripcion;UbicacionCorregida;DisponibleCodigo;UDS_1Mes;UDS_3Meses;Almacen;Catalogo;Obsoleto;Tipo;UbicacionCodigo;Padre;UbicacionPadre;DisponiblePadre;Volumen;Peso;DeptATerceros;DeptDeTerceros;UbicacionCodigoAlt1;UbicacionCodigoAlt2;Existencias;MOSTRAR EN HEATMAP
P3453510BDP;Isia Plafón 3453/150 Blanco Texturado, LED 280W 4000K 18900lm, CRI90 CL.I, LED integrado, Dim. DALI/Push;;0;;;OTRO;OTROS;VERDADERO;PT;;P3453510BRPC;;0;0,51842;43,3;0;0;;;0;
P3453510BRPC;Isia Plafón 3453/150 Blanco Texturado, LED 280W 4000K 18900lm, CRI90 CL.III, LED integrado, Sin Driver;;0;;;OTRO;OTROS;VERDADERO;PT;;;;;0;0;0;0;;;0;
P3453601B;Isia 3453/60 Plafón Blanco Texturado, LED 1x17W 3000K 1640lm, CL.I, LED integrado;;0;;;OTRO;OTROS;VERDADERO;PT;;;;;0,069696;5;0;0;;;0;
P3453601N;Isia 3453/60 Plafón Negro Texturado, LED 1x17W 3000K 1640lm, CL.I, LED integrado;;0;;;OTRO;OTROS;VERDADERO;PT;;;;;0,069696;5;0;0;;;0;
P3453601PB;Isia PRO Plafón 3453/60 Blanco texturado, LED 35W 3000K 3380lm, CRI90 CL.I, LED integrado;B05140;0;;;PT;OTROS;VERDADERO;PT;;P34536PBRPC;B05140;95;0,057037;5,55;0;0;;;0;
P3453602N;Isia 3453/60 Plafón Negro Texturado, LED 1x40W 3000K 3660lm, CL.I, LED integrado;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P3453607006SI;Isia 3453/60 Ral 7006 Plafón ,, CL.I, Sin instalación;;0;;;OTRO;OTROS;VERDADERO;PT;;;;;0,069696;5;0;0;;;0;
P345360B;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,053248;5,4;0;0;;;0;
P345360B1EM;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Kit de emergencia;B03352;9;;;PT;OTROS;FALSO;PT;B03352;P3453172B;A06340;252;0,069696;5;0;0;;;9;
P345360B1EMMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
